Wellname,X (meters),Y (meters),Column3,Column4
Bul-05_OH,522696.125,1560511.375,14°06′35.74″N,119°12′41.64″E
Bul-20_OH,523894.1875,1559786.25,14°06′12.11″N,119°13′21.56″E
Bul-23_OH,522639.0625,1559712.375,14°06′09.74″N,119°12′39.71″E
Bul-24_OH,523920.8125,1559772.25,14°06′11.65″N,119°13′22.44″E
Bul-30_OH,523395.5,1557591.25,14°05′00.7″N,119°13′04.86″E
Bul-40_OH,522768.4375,1558939.125,14°05′44.58″N,119°12′44.0″E
Bul-42_OH,522721.2188,1559557.75,14°06′04.71″N,119°12′42.44″E
Bul-48_OH,521778.0938,1559670.125,14°06′08.39″N,119°12′11.0″E
Bul-62_OH,523693.9688,1558914.5,14°05′43.75″N,119°13′14.85″E
Bul-90_OH,522042.6563,1560104.375,14°06′22.51″N,119°12′19.84″E
Bul-95_OH,523036.3438,1558560.0,14°05′32.23″N,119°12′52.92″E
Bul-32_OH,524818.125,1559137.625,14°05′50.98″N,119°13′52.34″E
Bul-37_OH,523040.8438,1557942.875,14°05′12.15″N,119°12′53.05″E
Bul-43_OH,521668.125,1559388.0,14°05′59.21″N,119°12′07.33″E
Bul-51_OH,524702.8125,1558697.25,14°05′36.65″N,119°13′48.48″E
Bul-54_OH,521629.9375,1558767.625,14°05′39.03″N,119°12′06.04″E
Bul-57_RD,524806.875,1559108.875,14°05′50.04″N,119°13′51.96″E
Bul-61_OH,523133.7188,1558172.625,14°05′19.63″N,119°12′56.16″E
Bul-02_OH,524082.1875,1560347.375,14°06′30.36″N,119°13′27.84″E
Bul-12_OH,523337.0,1558372.25,14°05′26.12″N,119°13′02.94″E
Bul-22_OH,524878.5625,1557935.75,14°05′11.87″N,119°13′54.32″E
Bul-22_OH,524221.6875,1557585.75,14°05′00.5″N,119°13′32.41″E
Bul-56_OH,523672.6563,1558936.5,14°05′44.47″N,119°13′14.14″E
Bul-63_RD,524769.4375,1558652.25,14°05′35.18″N,119°13′50.7″E
Bul-64_OH,523104.125,1559695.625,14°06′09.18″N,119°12′55.21″E
Bul-68_OH,521740.4375,1558042.0,14°05′15.42″N,119°12′09.7″E
Bul-17_OH,524115.2188,1558387.75,14°05′26.6″N,119°13′28.88″E
Bul-45_OH,522476.8438,1559101.375,14°05′49.87″N,119°12′34.28″E
Bul-25_OH,522600.4375,1557490.875,14°04′57.46″N,119°12′38.36″E
Bul-31a_OH,524733.5,1560527.125,14°06′36.19″N,119°13′49.56″E
Bul-33_OH,525032.4375,1560202.375,14°06′25.62″N,119°13′59.52″E
Bul-50_OH,525375.75,1560259.25,14°06′27.46″N,119°14′10.97″E
Bul-58_OH,521551.5938,1559100.5,14°05′49.86″N,119°12′03.44″E
Bul-69_OH,521745.7813,1558064.625,14°05′16.15″N,119°12′09.88″E
Bul-73_OH,520209.5,1559789.875,14°06′12.33″N,119°11′18.71″E
Bul-75_OH,520639.75,1558584.375,14°05′33.09″N,119°11′33.02″E
Bul-77_OH,525355.0,1560267.875,14°06′27.74″N,119°14′10.27″E
Bul-78_OH,525517.625,1559872.5,14°06′14.87″N,119°14′15.68″E
Bul-81_OH,520223.0313,1559841.875,14°06′14.02″N,119°11′19.16″E
